City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Kumi,KR,36.1136,128.336,65.88,84,79,3.65,broken clouds
320,Oistins,BB,13.0667,-59.5333,87.89,62,20,23.02,few clouds
321,Kulhudhuffushi,MV,6.6221,73.07,82.27,81,14,16.71,few clouds
322,Luwuk,ID,-0.9516,122.7875,77.31,86,100,2.24,overcast clouds
323,Taganak,PH,6.0833,118.3,80.74,69,7,1.88,clear sky
324,Salimpur,IN,28.128,76.2766,98.15,11,25,10.85,scattered clouds
325,Wadi Musa,JO,30.3222,35.4793,77.2,25,33,8.75,scattered clouds
326,Yar-Sale,RU,66.8333,70.8333,38.73,44,38,18.12,scattered clouds
327,Luderitz,NA,-26.6481,15.1594,63.27,51,0,4.16,clear sky
328,Halifax,CA,44.6453,-63.5724,66.69,69,42,5.01,scattered clouds
329,Marshall,US,34.3834,-86.3333,83.07,55,0,10.36,clear sky
330,San Carlos,VE,9.6612,-68.5827,81.57,76,97,4.32,overcast clouds
331,Port-Gentil,GA,-0.7193,8.7815,76.78,85,96,12.55,overcast clouds
332,Ponta Do Sol,PT,32.6667,-17.1,73.0,71,46,3.56,scattered clouds
333,Kudat,MY,6.8837,116.8477,75.13,100,20,1.14,few clouds
334,Jinka,ET,5.65,36.65,64.99,64,56,3.91,broken clouds
335,Kuching,MY,1.55,110.3333,79.02,94,40,3.44,scattered clouds
336,Oktyabrskiy,RU,54.4815,53.471,60.19,90,100,12.21,overcast clouds
337,Tibati,CM,6.4667,12.6333,68.77,95,100,3.83,light rain
338,Panzhihua,CN,26.5851,101.7128,78.93,69,83,0.34,broken clouds
339,Bandarbeyla,SO,9.4942,50.8122,80.31,77,24,28.9,few clouds
340,Bamiantong,CN,44.9333,130.5333,49.68,86,100,6.87,overcast clouds
341,San Miguelito,PA,9.0333,-79.5,86.9,71,40,9.22,scattered clouds
342,Markivka,UA,49.5229,39.5705,65.91,83,89,10.0,overcast clouds
343,Defiance,US,41.3334,-84.45,77.04,35,0,6.91,clear sky
344,Kirovskiy,RU,45.0917,133.5136,48.13,87,100,5.23,overcast clouds
