City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,Upernavik,72.7868,-56.1549,26.85,77,26,9.13,GL,2022-05-31 23:25:56
238,Ust-Nera,64.5667,143.2,53.64,69,100,4.59,RU,2022-05-31 23:25:56
239,Urupes,-21.2017,-49.29,78.13,82,100,8.16,BR,2022-05-31 23:25:56
240,Skjervoy,70.0311,20.9714,51.8,67,9,16.37,NO,2022-05-31 23:22:13
241,Palmer,42.1584,-72.3287,76.55,59,75,9.22,US,2022-05-31 23:25:57
242,Pangnirtung,66.1451,-65.7125,31.73,92,83,1.83,CA,2022-05-31 23:25:57
243,Mareeba,-17.0,145.4333,72.48,95,57,2.39,AU,2022-05-31 23:25:57
244,Bulgan,48.8125,103.5347,58.48,47,78,0.58,MN,2022-05-31 23:25:57
245,Imbituba,-28.24,-48.6703,58.86,86,69,5.21,BR,2022-05-31 23:23:38
246,Matagami,49.7502,-77.6328,62.91,42,84,11.1,CA,2022-05-31 23:25:58
247,Pitea,65.3172,21.4794,53.69,97,100,12.33,SE,2022-05-31 23:25:58
248,Beroroha,-21.6667,45.1667,60.08,57,0,3.22,MG,2022-05-31 23:25:58
249,Quatre Cocos,-20.2078,57.7625,74.08,65,90,15.61,MU,2022-05-31 23:25:58
250,Pasni,25.2631,63.471,81.21,84,1,12.73,PK,2022-05-31 23:25:59
251,San Andres,12.5847,-81.7006,84.22,79,75,9.22,CO,2022-05-31 23:24:14
252,Wattegama,6.7989,81.4808,75.27,80,100,7.34,LK,2022-05-31 23:25:59
253,Padang,-0.9492,100.3543,73.45,89,42,3.89,ID,2022-05-31 23:25:59
254,Huarmey,-10.0681,-78.1522,64.83,81,57,9.01,PE,2022-05-31 23:25:59
255,Shinjo,38.7586,140.3008,64.45,94,99,9.26,JP,2022-05-31 23:26:00
256,Arraial Do Cabo,-22.9661,-42.0278,72.7,89,94,4.45,BR,2022-05-31 23:26:00
257,Vila Franca Do Campo,37.7167,-25.4333,60.19,82,45,15.39,PT,2022-05-31 23:22:28
258,Ambulu,-8.345,113.6058,75.78,90,97,3.38,ID,2022-05-31 23:26:00
259,Bikin,46.8161,134.26,53.24,86,80,6.78,RU,2022-05-31 23:26:01
260,Kiama,-34.6833,150.8667,52.57,56,1,8.99,AU,2022-05-31 23:26:01
261,Lorengau,-2.0226,147.2712,81.59,72,55,5.91,PG,2022-05-31 23:23:45
262,Viedma,-40.8135,-62.9967,41.68,67,18,8.41,AR,2022-05-31 23:26:01
263,Carlagan,14.975,122.0456,81.9,79,100,7.63,PH,2022-05-31 23:23:25
264,Nishihara,26.1842,127.7558,78.46,100,75,17.27,JP,2022-05-31 23:26:02
265,Gigmoto,13.7796,124.39,83.12,83,100,11.74,PH,2022-05-31 23:26:02
266,Kailua,21.4022,-157.7394,84.18,67,75,13.8,US,2022-05-31 23:26:02
267,Camias,15.1736,120.9651,83.82,78,100,2.44,PH,2022-05-31 23:26:02
268,Bairiki,1.3292,172.9752,86.0,70,40,8.05,KI,2022-05-31 23:26:03
269,Hasaki,35.7333,140.8333,72.28,69,76,4.36,JP,2022-05-31 23:26:03
270,Harper,4.375,-7.7169,78.19,84,50,7.92,LR,2022-05-31 23:26:03
271,Mehamn,71.0357,27.8492,39.11,73,77,9.19,NO,2022-05-31 23:26:04
272,Toul,48.6667,5.9167,54.52,69,0,4.61,FR,2022-05-31 23:26:04
273,Ilhabela,-23.7781,-45.3581,68.09,92,100,4.03,BR,2022-05-31 23:26:04
274,Sembe,1.6481,14.5806,69.53,97,83,0.2,CG,2022-05-31 23:26:04
275,Chumikan,54.7183,135.315,33.78,98,100,11.95,RU,2022-05-31 23:27:05
276,Vysokogornyy,50.1167,139.15,43.07,93,100,5.48,RU,2022-05-31 23:27:05
277,Hammerfest,70.6634,23.6821,50.45,53,0,4.61,NO,2022-05-31 23:27:05
278,Itoman,26.1247,127.6694,79.18,100,75,13.8,JP,2022-05-31 23:25:14
279,Komsomolskiy,40.4272,71.7189,61.52,67,0,6.91,UZ,2022-05-31 23:27:06
280,Jacareacanga,-6.2222,-57.7528,79.63,67,87,2.68,BR,2022-05-31 23:27:06
281,Havre-Saint-Pierre,50.2334,-63.5986,52.16,46,0,19.57,CA,2022-05-31 23:25:07
282,Ubinskoye,55.3068,79.6802,47.41,95,1,8.37,RU,2022-05-31 23:27:07
283,Chute-Aux-Outardes,49.1168,-68.399,49.98,62,0,6.91,CA,2022-05-31 23:27:07
284,Damghan,36.1683,54.348,70.29,32,11,1.77,IR,2022-05-31 23:27:07
285,Saint Anthony,45.0205,-93.218,65.35,69,100,18.41,US,2022-05-31 23:27:08
286,Amahai,-3.3333,128.9167,80.38,82,97,2.28,ID,2022-05-31 23:27:08
287,Bibiani,6.4635,-2.3194,71.91,99,100,2.08,GH,2022-05-31 23:27:08
288,Varnamo,57.186,14.04,47.26,94,9,3.87,SE,2022-05-31 23:27:09
289,Saquena,-4.6667,-73.5167,74.17,95,82,1.21,PE,2022-05-31 23:23:10
290,Flin Flon,54.7682,-101.865,51.64,50,75,16.11,CA,2022-05-31 23:27:09
291,Ucluelet,48.9329,-125.5528,61.11,76,56,3.0,CA,2022-05-31 23:27:09
292,Enshi,30.3,109.4833,71.69,93,82,1.12,CN,2022-05-31 23:27:10
